銘柄コード,銘柄名,信用区分,新規売建可能数量(在庫株数量)(株(口)),プレミアム料(1株あたり)
4894,クオリプス,デイトレ,18300,8.10
4896,ケイファーマ,デイトレ,23800,0.90
489A,東証ＲＥＩＴ物流フォーカスＥＴＦ,デイトレ,14,0.00
4901,富士フイルムホールディングス,長期,165500,
4902,コニカミノルタ,長期,7300,0.06
4911,資生堂,デイトレ,21100,0.00
4911,資生堂,長期,1079000,
4912,ライオン,デイトレ,2900,0.00
4912,ライオン,長期,1900900,
4914,高砂香料工業,長期,286400,
4918,アイビー化粧品,デイトレ,6600,0.27
4919,ミルボン,デイトレ,1900,0.00
4919,ミルボン,長期,116400,
4920,日本色材工業研究所,デイトレ,600,0.90
4922,コーセーホールディングス,デイトレ,5300,0.00
4922,コーセーホールディングス,長期,200500,
4923,コタ,デイトレ,2600,0.00
4923,コタ,長期,3100,0.05
4927,ポーラ・オルビスホールディングス,デイトレ,6200,0.00
4927,ポーラ・オルビスホールディングス,長期,128000,
4928,ノエビアホールディングス,デイトレ,3100,0.00
4928,ノエビアホールディングス,長期,11400,0.39
4933,Ｉ－ｎｅ,デイトレ,1100,2.52
4934,プレミアアンチエイジング,デイトレ,3500,0.90
4935,リベルタ,デイトレ,328100,1.30
4951,エステー,長期,800,0.06
4956,コニシ,デイトレ,900,0.00
4956,コニシ,長期,213400,
4958,長谷川香料,長期,284300,0.28
4966,上村工業,長期,56700,1.55
4967,小林製薬,デイトレ,8300,0.00
4967,小林製薬,長期,237600,
4968,荒川化学工業,長期,25700,0.19
4970,東洋合成工業,デイトレ,3900,8.72
4970,東洋合成工業,長期,4600,0.77
4971,メック,デイトレ,6200,0.00
4971,メック,長期,63000,
4972,綜研化学,デイトレ,1700,4.40
4973,日本高純度化学,デイトレ,3100,3.60
4975,ＪＣＵ,デイトレ,3100,0.00
4975,ＪＣＵ,長期,152100,
4976,東洋ドライルーブ,デイトレ,400,0.00
4977,新田ゼラチン,デイトレ,3600,0.00
4978,リプロセル,デイトレ,61100,1.30
4979,ＯＡＴアグリオ,デイトレ,1000,2.60
4980,デクセリアルズ,デイトレ,54500,0.00
4980,デクセリアルズ,長期,853900,
4985,アース製薬,デイトレ,3600,0.00
4985,アース製薬,長期,61200,
498A,防衛・航空宇宙　欧州株（ネットリターン）ＥＴＮ,デイトレ,4,0.00
4992,北興化学工業,デイトレ,1500,0.00
4992,北興化学工業,長期,22200,0.16
4994,大成ラミックグループ,デイトレ,400,0.00
4996,クミアイ化学工業,デイトレ,7500,0.00
4996,クミアイ化学工業,長期,188400,
4997,日本農薬,長期,残数量なし,
4998,フマキラー,デイトレ,4800,0.00
500A,ＴＯブックス,デイトレ,200,3.30
5010,日本精蝋,デイトレ,17600,0.90
5011,ニチレキグループ,デイトレ,600,0.00
5011,ニチレキグループ,長期,33300,0.19
5013,ユシロ,デイトレ,600,0.00
5015,ビーピー・カストロール,デイトレ,5200,0.26
5016,ＪＸ金属,デイトレ,416700,0.00
5016,ＪＸ金属,長期,779000,
5018,ＭＯＲＥＳＣＯ,デイトレ,2500,0.00
5019,出光興産,長期,124800,
5020,ＥＮＥＯＳホールディングス,デイトレ,61600,0.00
5020,ＥＮＥＯＳホールディングス,長期,2518600,
5021,コスモエネルギーホールディングス,デイトレ,5200,0.00
5021,コスモエネルギーホールディングス,長期,708100,
5026,トリプルアイズ,デイトレ,3000,0.90
5027,ＡｎｙＭｉｎｄ　Ｇｒｏｕｐ,デイトレ,73600,0.72
5028,セカンドサイトアナリティカ,デイトレ,9700,0.90
5029,サークレイス,デイトレ,1200,1.30
5031,モイ,デイトレ,15600,1.53
5032,ＡＮＹＣＯＬＯＲ,デイトレ,14200,0.00
5032,ＡＮＹＣＯＬＯＲ,長期,231500,0.42
5033,ヌーラボ,デイトレ,500,0.00
5034,ｕｎｅｒｒｙ,デイトレ,10100,1.80
5035,ＨＯＵＳＥＩ,デイトレ,2700,0.90
5038,ｅＷｅＬＬ,デイトレ,600,1.90
504A,イノバセル,デイトレ,3300,0.35
505A,ギークリー,デイトレ,2100,0.90
5071,ヴィス,デイトレ,残数量なし,1.50
5074,テスホールディングス,デイトレ,66600,0.00
5075,アップコン,デイトレ,100,0.00
5076,インフロニア・ホールディングス,デイトレ,15300,0.00
5076,インフロニア・ホールディングス,長期,455800,
5079,ノバック,デイトレ,1900,2.34
509A,グリーンライト・再エネインフラ投資法人,デイトレ,18,0.00
5101,横浜ゴム,デイトレ,3700,0.00
5101,横浜ゴム,長期,13000,
5105,ＴＯＹＯ　ＴＩＲＥ,デイトレ,8000,0.00
5105,ＴＯＹＯ　ＴＩＲＥ,長期,805500,
5108,ブリヂストン,デイトレ,15900,0.00
5108,ブリヂストン,長期,94700,
5110,住友ゴム工業,デイトレ,21600,0.00
5110,住友ゴム工業,長期,1052400,
5122,オカモト,デイトレ,100,0.00
5122,オカモト,長期,27000,
5125,ファインズ,デイトレ,2700,0.90
5129,ＦＩＸＥＲ,デイトレ,18200,0.00
5132,ｐｌｕｓｚｅｒｏ,デイトレ,7400,0.00
5133,テリロジーホールディングス,デイトレ,15500,0.90
5134,ＰＯＰＥＲ,デイトレ,100,1.30
5136,ｔｒｉｐｌａ,デイトレ,8300,2.61
5137,スマートドライブ,デイトレ,15500,1.30
5138,Ｒｅｂａｓｅ,デイトレ,200,1.30
5139,オープンワーク,デイトレ,3400,0.90
513A,グローバルＸ　防衛テック－日本株式　ＥＴＦ,デイトレ,8544,0.00
5142,アキレス,長期,27600,
515A,ｉシェアーズ　高格付け日本円社債　ＥＴＦ,デイトレ,110,0.00
5161,西川ゴム工業,デイトレ,1900,2.70
5162,朝日ラバー,デイトレ,100,1.30
5184,ニチリン,デイトレ,3100,0.00
5185,フコク,デイトレ,2800,0.00
5185,フコク,長期,1400,
5186,ニッタ,デイトレ,100,0.00
5186,ニッタ,長期,64700,
5187,クリエートメディック,デイトレ,1200,1.10
5189,櫻護謨,デイトレ,1100,3.90
518A,ＮＥＸＴ　ＦＵＮＤＳ　ＦＴＳＥ日本株高配当キャッシュフロー５０指数連動型上場投信,デイトレ,260,1.00
5192,三ツ星ベルト,デイトレ,3900,0.00
5192,三ツ星ベルト,長期,11700,0.29
5194,相模ゴム工業,デイトレ,7000,1.30
5195,バンドー化学,デイトレ,900,0.00
5195,バンドー化学,長期,122800,0.10
519A,ベーシック,デイトレ,500,0.00
5201,ＡＧＣ,デイトレ,27300,0.00
5201,ＡＧＣ,長期,24800,
5204,石塚硝子,デイトレ,1000,0.00
5208,有沢製作所,デイトレ,2500,0.00
5208,有沢製作所,長期,106000,
520A,ジェイファーマ,デイトレ,4300,1.53
5210,日本山村硝子,デイトレ,3100,0.00
5214,日本電気硝子,デイトレ,4900,0.00
5214,日本電気硝子,長期,556700,
5216,倉元製作所,デイトレ,37400,1.12
5218,オハラ,デイトレ,1900,0.00
521A,ｉＦｒｅｅＥＴＦ　ＦＡＮＧ＋ゴールド,デイトレ,3507,0.00
5232,住友大阪セメント,長期,143100,
5233,太平洋セメント,デイトレ,11200,0.00
5233,太平洋セメント,長期,6600,
523A,セイワホールディングス,デイトレ,2700,1.30
5240,ｍｏｎｏＡＩ　ｔｅｃｈｎｏｌｏｇｙ,デイトレ,700,1.44
5242,アイズ,デイトレ,900,2.15
5243,ｎｏｔｅ,デイトレ,14200,3.60
5244,ｊｉｇ．ｊｐ,デイトレ,53400,0.00
5246,ＥＬＥＭＥＮＴＳ,デイトレ,29900,0.81
5247,ＢＴＭ,デイトレ,2900,0.50
5248,テクノロジーズ,デイトレ,38800,0.90
5250,ＧＭＯプライム・ストラテジー,デイトレ,2100,0.90
5252,日本ナレッジ,デイトレ,8500,1.30
5253,カバー,デイトレ,109500,0.00
5254,Ａｒｅｎｔ,デイトレ,700,3.65
5255,モンスターラボ,デイトレ,46000,0.78
5256,Ｆｕｓｉｃ,デイトレ,700,3.96
5257,ノバシステム,デイトレ,200,2.20
5258,トランザクション・メディア・ネットワークス,デイトレ,26600,0.00
5261,リソルホールディングス,デイトレ,2100,8.45
5269,日本コンクリート工業,デイトレ,5600,0.00
5271,トーヨーアサノ,デイトレ,300,2.60
5273,三谷セキサン,デイトレ,400,0.00
5273,三谷セキサン,長期,78800,
5279,日本興業,デイトレ,100,0.37
5280,ヨシコン,デイトレ,11400,1.80
5282,ジオスター,デイトレ,7200,0.90
5283,高見澤,デイトレ,300,0.00
5284,ヤマウホールディングス,デイトレ,3200,1.80
5285,ヤマックス,デイトレ,22600,0.00
5287,イトーヨーギョー,デイトレ,2400,0.90
5288,アジアパイルホールディングス,デイトレ,7800,0.14
5288,アジアパイルホールディングス,長期,34500,0.12
5301,東海カーボン,デイトレ,9800,0.00
5301,東海カーボン,長期,18400,
5302,日本カーボン,デイトレ,3900,0.00
5302,日本カーボン,長期,11900,0.41
5304,ＳＥＣカーボン,デイトレ,3500,0.00
5310,東洋炭素,デイトレ,700,0.00
5310,東洋炭素,長期,21100,0.58
5331,ノリタケ,デイトレ,2600,0.00
5331,ノリタケ,長期,241200,
5332,ＴＯＴＯ,デイトレ,21100,0.00
5332,ＴＯＴＯ,長期,12600,
5333,ＮＧＫ,デイトレ,21100,0.00
5333,ＮＧＫ,長期,31500,
5334,日本特殊陶業,長期,322400,
5337,ダントーホールディングス,デイトレ,200,0.90
533A,ＮＺＡＭ　上場投信　Ｓ＆Ｐ５００（為替ヘッジなし）,デイトレ,24,0.00
5341,ＡＳＡＨＩ　ＥＩＴＯホールディングス,デイトレ,14900,0.28
5343,ニッコー,デイトレ,2500,0.00
5344,ＭＡＲＵＷＡ,デイトレ,1500,0.00
5344,ＭＡＲＵＷＡ,長期,55300,
5351,品川リフラ,デイトレ,3800,0.00
5351,品川リフラ,長期,62800,0.11
5355,日本坩堝,デイトレ,300,0.15
5356,美濃窯業,デイトレ,1600,0.00
5357,ヨータイ,デイトレ,1200,0.00
5363,東京窯業,デイトレ,1600,0.00
5367,ニッカトー,デイトレ,5900,0.00
536A,ＮＺＡＭ　上場投信　先進国株式（ＭＳＣＩ－ＫＯＫＵＳＡＩ）（為替ヘッジなし）,デイトレ,1,0.00
537A,ＮＺＡＭ　上場投信　全世界株式　（ＭＳＣＩ　ＡＣＷＩ）（為替ヘッジなし）,デイトレ,2,0.00
5384,フジミインコーポレーテッド,デイトレ,7000,0.00
5384,フジミインコーポレーテッド,長期,337700,
5386,鶴弥,デイトレ,100,0.00
5388,クニミネ工業,デイトレ,300,0.00
5391,エーアンドエーマテリアル,デイトレ,9000,0.00
5393,ニチアス,デイトレ,300,0.00
5393,ニチアス,長期,931000,
5401,日本製鉄,長期,5576800,
5406,神戸製鋼所,デイトレ,92600,0.00
5406,神戸製鋼所,長期,57500,
5408,中山製鋼所,デイトレ,20800,0.00
5408,中山製鋼所,長期,5900,0.06
540A,上場インデックスファンド日経銀行株トップ１０,デイトレ,1309,3.00
5410,合同製鐵,デイトレ,4900,0.00
5411,ＪＦＥホールディングス,デイトレ,250700,0.00
5411,ＪＦＥホールディングス,長期,1251200,
541A,Ｏｎｅ　ＥＴＦ　ＴＯＰＩＸ高配当株グロース指数,デイトレ,290,0.50
5423,東京製鐵,デイトレ,2100,0.00
5423,東京製鐵,長期,200300,
542A,ビタブリッドジャパン,デイトレ,5700,1.30
5440,共英製鋼,デイトレ,1900,0.00
5440,共英製鋼,長期,33800,0.10
5444,大和工業,デイトレ,500,0.00
5444,大和工業,長期,248500,
5445,東京鐵鋼,長期,3000,0.07
5446,北越メタル,デイトレ,700,1.53
544A,ＧＭＳグループ,デイトレ,16900,0.00
5451,ヨドコウ,デイトレ,1000,0.00
5451,ヨドコウ,長期,286900,
5461,中部鋼鈑,デイトレ,7900,0.00
5461,中部鋼鈑,長期,17600,0.17
5463,丸一鋼管,長期,636700,
5464,モリ工業,デイトレ,400,0.00
546A,ＭＩＲＡＩＮＩホールディングス,デイトレ,18900,0.00
546A,ＭＩＲＡＩＮＩホールディングス,長期,33100,
5471,大同特殊鋼,デイトレ,25100,0.00
5471,大同特殊鋼,長期,938400,
547A,ムニノバホールディングス,デイトレ,427800,0.00
547A,ムニノバホールディングス,長期,4511600,
5480,日本冶金工業,デイトレ,1500,0.00
5482,愛知製鋼,デイトレ,2600,0.00
5482,愛知製鋼,長期,114900,
548A,システムエグゼ,デイトレ,1100,0.90
5491,日本金属,デイトレ,29300,0.00
550A,ソフトテックス,デイトレ,400,2.20
5527,ｐｒｏｐｅｒｔｙ　ｔｅｃｈｎｏｌｏｇｉｅｓ,デイトレ,2300,0.90
552A,ＭＡＸＩＳ米国ＡＩインフラ株上場投信,デイトレ,1797,0.00
5530,日本システムバンク,デイトレ,100,0.00
5532,リアルゲイト,デイトレ,600,3.84
5535,ミガロホールディングス,デイトレ,245800,0.90
5537,ＡｌｂａＬｉｎｋ,デイトレ,1300,4.06
5541,大平洋金属,デイトレ,15700,0.00
5542,新報国マテリアル,デイトレ,残数量なし,4.34
554A,バトンズ,デイトレ,900,0.90
5563,新日本電工,デイトレ,21600,0.00
5563,新日本電工,長期,209900,
556A,犬猫生活,デイトレ,1900,6.27
5570,ジェノバ,デイトレ,8800,0.90
5572,Ｒｉｄｇｅ－ｉ,デイトレ,5100,2.81
5574,ＡＢＥＪＡ,デイトレ,27900,3.60
5575,Ｇｌｏｂｅｅ,デイトレ,800,1.30
5576,オービーシステム,デイトレ,400,2.71
5578,ＡＲアドバンストテクノロジ,デイトレ,13700,0.90
5582,グリッド,デイトレ,1800,1.80
5586,Ｌａｂｏｒｏ．ＡＩ,デイトレ,5800,0.90
5587,インバウンドプラットフォーム,デイトレ,1200,0.90
5588,ファーストアカウンティング,デイトレ,600,0.90
5589,オートサーバー,デイトレ,400,0.00
558A,ＳＱＵＥＥＺＥ,デイトレ,100,5.21
5590,ネットスターズ,デイトレ,180400,0.00
5591,ＡＶＩＬＥＮ,デイトレ,7800,0.90
5592,くすりの窓口,デイトレ,3200,1.80
5597,ブルーイノベーション,デイトレ,8100,1.53
5599,Ｓ＆Ｊ,デイトレ,1800,0.90
559A,梅乃宿酒造,デイトレ,15500,0.90
5602,栗本鐵工所,デイトレ,8000,0.00
5602,栗本鐵工所,長期,105200,0.13
5603,虹技,デイトレ,400,0.00
5609,日本鋳造,デイトレ,700,1.30
5612,日本鋳鉄管,デイトレ,1200,0.90
5616,雨風太陽,デイトレ,2500,0.90
5621,ヒューマンテクノロジーズ,デイトレ,100,1.30
5631,日本製鋼所,デイトレ,33900,0.00
5631,日本製鋼所,長期,406400,
5632,三菱製鋼,デイトレ,6000,0.00
5632,三菱製鋼,長期,22000,0.10
563A,グローバルＸ　ＮＡＳＤＡＱ１００・デイリー・カバード・コール　ＥＴＦ,デイトレ,135477,0.00
5644,メタルアート,デイトレ,700,0.41
5658,日亜鋼業,デイトレ,3600,0.00
5659,日本精線,デイトレ,800,0.00
5659,日本精線,長期,1900,0.14
568A,ｉシェアーズ　シルバー　ＥＴＦ,デイトレ,1160,0.30
5697,サンユウ,デイトレ,1600,1.30
5698,エンビプロ・ホールディングス,デイトレ,9700,0.90
5698,エンビプロ・ホールディングス,長期,1900,0.04
5699,イボキン,デイトレ,1500,1.30
569A,ｉシェアーズ　プラチナ　ＥＴＦ,デイトレ,990,0.00
5702,大紀アルミニウム工業所,デイトレ,8700,0.00
5702,大紀アルミニウム工業所,長期,43400,0.07
5703,日本軽金属ホールディングス,デイトレ,5100,0.00
5703,日本軽金属ホールディングス,長期,358200,
5704,ＪＭＣ,デイトレ,3600,0.90
5706,三井金属,長期,99500,
570A,ｉシェアーズ　日本国債０－１年　ＥＴＦ,デイトレ,10,0.00
5711,三菱マテリアル,デイトレ,96800,0.00
5711,三菱マテリアル,長期,200000,
5713,住友金属鉱山,デイトレ,54400,0.00
5713,住友金属鉱山,長期,36600,
5714,ＤＯＷＡホールディングス,デイトレ,4800,0.00
5714,ＤＯＷＡホールディングス,長期,6700,
5715,古河機械金属,デイトレ,8600,0.00
5715,古河機械金属,長期,77100,
571A,ｉシェアーズ　日本国債１－３年　ＥＴＦ,デイトレ,30,0.00
5726,大阪チタニウムテクノロジーズ,デイトレ,53700,2.97
5729,日本精鉱,デイトレ,1300,0.90
572A,ｉシェアーズ　日本国債３－７年　ＥＴＦ,デイトレ,40,0.00
573A,ｉシェアーズ　日本国債２０年超　ＥＴＦ,デイトレ,40,0.20
5741,ＵＡＣＪ,デイトレ,13500,0.00
5741,ＵＡＣＪ,長期,1028600,
5742,エヌアイシ・オートテック,デイトレ,900,0.00
5753,日本伸銅,デイトレ,700,2.34
5757,ＣＫサンエツ,デイトレ,2300,5.20
5757,ＣＫサンエツ,長期,600,0.33
575A,前澤ホールディングス,デイトレ,2600,2.11
576A,グローバルＸ　チャイナテック・カバード・コール　ＥＴＦ,デイトレ,2961,0.00
577A,グローバルＸ　シルバー　ＥＴＦ,デイトレ,1970,0.00
579A,グローバルＸ　銀ビジネス　ＥＴＦ,デイトレ,18,0.00
5801,古河電気工業,デイトレ,518300,0.00
5801,古河電気工業,長期,81600,
5802,住友電気工業,デイトレ,284200,0.00
5802,住友電気工業,長期,372700,
5803,フジクラ,デイトレ,238700,0.00
5803,フジクラ,長期,187000,
5805,ＳＷＣＣ,長期,291200,
580A,グローバルＸ　銅ビジネス　ＥＴＦ,デイトレ,6,0.00
5816,オーナンバ,デイトレ,1700,0.00
5819,カナレ電気,デイトレ,1800,2.28
581A,ＧＯ,デイトレ,94000,0.00
5820,三ッ星,デイトレ,7100,0.90
5821,平河ヒューテック,デイトレ,1000,3.30
5821,平河ヒューテック,長期,10200,0.26
5830,いよぎんホールディングス,デイトレ,12400,0.00
5830,いよぎんホールディングス,長期,940200,
5831,しずおかフィナンシャルグループ,デイトレ,7000,0.00
5831,しずおかフィナンシャルグループ,長期,60900,
5832,ちゅうぎんフィナンシャルグループ,デイトレ,3200,0.00
5832,ちゅうぎんフィナンシャルグループ,長期,958700,
5834,ＳＢＩリーシングサービス,デイトレ,6500,0.00
5838,楽天銀行,長期,353200,
5842,インテグラル,デイトレ,200,2.20
5843,ニッポンインシュア,デイトレ,2000,2.60
5844,京都フィナンシャルグループ,デイトレ,13200,0.00
5844,京都フィナンシャルグループ,長期,680500,
5845,全保連,デイトレ,32800,1.30
584A,ＬｉＮＫＸ,デイトレ,4800,1.80
5851,リョービ,デイトレ,4000,0.00
5851,リョービ,長期,66100,
5852,アーレスティ,デイトレ,10700,0.00
5857,ＡＲＥホールディングス,デイトレ,19700,0.00
5857,ＡＲＥホールディングス,長期,568600,
5867,エスネットワークス,デイトレ,300,1.30
5868,ロココ,デイトレ,300,0.90
5869,早稲田学習研究会,デイトレ,300,0.00
586A,ＮＥＸＴ　ＦＵＮＤＳ　日経エンタメ・コンテンツ株指数連動型上場投信,デイトレ,74430,0.00
5870,ナルネットコミュニケーションズ,デイトレ,2900,0.90
5871,ＳＯＬＩＺＥ　Ｈｏｌｄｉｎｇｓ,デイトレ,300,0.00
5884,クラダシ,デイトレ,3500,0.90
5885,ジーデップ・アドバンス,デイトレ,4300,0.00
5888,ＤＡＩＷＡ　ＣＹＣＬＥ,デイトレ,400,2.60
5889,Ｊａｐａｎ　Ｅｙｅｗｅａｒ　Ｈｏｌｄｉｎｇｓ,デイトレ,7300,1.80
5891,ＳＡＫＩＧＡＫＥホールディングス,デイトレ,5400,0.90
5892,ｙｕｔｏｒｉ,デイトレ,300,1.80
589A,ネイス,デイトレ,800,0.90
5901,東洋製罐グループホールディングス,デイトレ,3000,0.00
5901,東洋製罐グループホールディングス,長期,792700,
5902,ホッカンホールディングス,デイトレ,5200,0.00
5902,ホッカンホールディングス,長期,12600,0.22
5906,エムケー精工,デイトレ,1600,0.90
5909,コロナ,デイトレ,2400,1.30
5911,横河ブリッジホールディングス,デイトレ,800,0.00
5911,横河ブリッジホールディングス,長期,183900,
5915,駒井ハルテック,デイトレ,2700,0.00
5921,川岸工業,デイトレ,400,5.80
5922,那須電機鉄工,デイトレ,100,26.00
5923,高田機工,デイトレ,3900,1.30
5928,アルメタックス,デイトレ,700,0.00
5929,三和ホールディングス,デイトレ,3100,0.00
5929,三和ホールディングス,長期,868400,
5930,文化シヤッター,デイトレ,1400,1.30
5930,文化シヤッター,長期,215300,
5932,三協立山,デイトレ,74000,0.00
5932,三協立山,長期,3400,
5933,アルインコ,デイトレ,1100,0.00
5936,東洋シヤッター,デイトレ,300,0.00
5938,ＬＩＸＩＬ,デイトレ,150100,0.00
5938,ＬＩＸＩＬ,長期,789100,
5939,大谷工業,デイトレ,900,5.13
5940,不二サッシ,デイトレ,2200,0.90
5942,日本フイルコン,デイトレ,7900,1.30
5943,ノーリツ,デイトレ,1000,0.00
5943,ノーリツ,長期,136200,
5946,長府製作所,デイトレ,2200,0.00
5946,長府製作所,長期,24200,0.16
5947,リンナイ,デイトレ,3600,0.00
5947,リンナイ,長期,781900,
5949,ユニプレス,デイトレ,1700,0.00
5949,ユニプレス,長期,37900,0.06
5950,日本パワーファスニング,デイトレ,700,1.30
5951,ダイニチ工業,デイトレ,500,0.00
5952,アマテイ,デイトレ,12200,0.18
5955,ワイズホールディングス,デイトレ,42700,0.21
5956,トーソー,デイトレ,600,0.00
5957,日東精工,デイトレ,3000,0.00
5957,日東精工,長期,4300,0.05
5958,三洋工業,デイトレ,500,0.00
5959,岡部,長期,5000,0.08
5965,フジマック,デイトレ,2800,1.58
5967,ＴＯＮＥ,デイトレ,4100,0.00
5970,ジーテクト,デイトレ,1300,0.00
5970,ジーテクト,長期,85200,0.09
5971,共和工業所,デイトレ,100,0.00
5973,トーアミ,デイトレ,1400,1.30
5974,中国工業,デイトレ,900,1.11
5975,東プレ,デイトレ,4000,0.00
5975,東プレ,長期,175100,
5976,高周波熱錬,デイトレ,600,0.00
5976,高周波熱錬,長期,32900,0.12
5981,東京製綱,デイトレ,3000,0.00
5981,東京製綱,長期,1600,0.13
5982,マルゼン,デイトレ,1300,3.70
5984,兼房,デイトレ,6300,0.00
5986,モリテック　スチール,デイトレ,600,0.90
5988,パイオラックス,デイトレ,900,0.00
5989,エイチワン,デイトレ,4000,0.00
5989,エイチワン,長期,2600,0.10
598A,チャットプラス,デイトレ,10200,1.29
5991,日本発条,デイトレ,3600,0.00
5991,日本発条,長期,883500,
5992,中央発條,デイトレ,300,2.70
5994,ファインシンター,デイトレ,1200,0.90
5997,協立エアテック,デイトレ,300,1.30
6005,三浦工業,デイトレ,1700,0.00
6005,三浦工業,長期,989900,
6013,タクマ,デイトレ,1400,0.00
6013,タクマ,長期,609100,
6022,赤阪鐵工所,デイトレ,1100,2.20
6023,ダイハツインフィニアース,デイトレ,13200,0.00
6023,ダイハツインフィニアース,長期,17100,0.28
6030,アドベンチャー,デイトレ,2900,1.62
6031,ＺＥＴＡ,デイトレ,66600,0.00
6034,ＭＲＴ,デイトレ,2700,0.00
6035,アイ・アールジャパンホールディングス,デイトレ,7100,0.00
6035,アイ・アールジャパンホールディングス,長期,1100,
6036,ＫｅｅＰｅｒ技研,デイトレ,47300,0.00
6037,楽待,デイトレ,1600,1.42
6038,イード,デイトレ,2400,0.00
6039,日本動物高度医療センター,デイトレ,1800,0.92
603A,アイ・グリッド・ソリューションズ,デイトレ,18500,0.72
6040,日本スキー場開発,デイトレ,3400,0.90
6042,ニッキ,デイトレ,200,0.35
6044,三機サービス,デイトレ,100,1.71
6047,Ｇｕｎｏｓｙ,デイトレ,45900,0.90
6049,イトクロ,デイトレ,5300,1.30
604A,ビーエイブル,デイトレ,13900,6.93
6054,リブセンス,デイトレ,30600,0.00
6055,ジャパンマテリアル,デイトレ,22100,0.00
6055,ジャパンマテリアル,長期,405100,
6058,ベクトル,デイトレ,44700,0.00
6058,ベクトル,長期,63700,
6059,ウチヤマホールディングス,デイトレ,2100,0.00
605A,ＮＥＸＴ　ＦＵＮＤＳ　日本株政策フォーカス上場投信,デイトレ,6720,0.00
6061,ユニバーサル園芸社,デイトレ,1100,2.70
6062,チャーム・ケア・コーポレーション,デイトレ,13200,0.00
6062,チャーム・ケア・コーポレーション,長期,2300,
6063,日本エマージェンシーアシスタンス,デイトレ,700,0.90
6069,トレンダーズ,デイトレ,7100,0.00
606A,金２倍ブルＥＴＦ,デイトレ,104,0.00
6071,ＩＢＪ,デイトレ,5100,0.00
6071,ＩＢＪ,長期,1000,0.06
6073,アサンテ,長期,残数量なし,0.11
6074,ジェイエスエス,デイトレ,900,1.30
6078,バリューＨＲ,デイトレ,5300,0.00
607A,エブリー,デイトレ,19200,1.53
6080,Ｍ＆Ａキャピタルパートナーズ,デイトレ,19200,0.00
6080,Ｍ＆Ａキャピタルパートナーズ,長期,40300,0.17
6081,アライドアーキテクツ,デイトレ,23300,1.30
6082,ライドオンエクスプレスホールディングス,デイトレ,2800,0.90
6083,ＥＲＩホールディングス,デイトレ,1000,0.00
6086,シンメンテホールディングス,デイトレ,1300,1.30
6088,シグマクシス・ホールディングス,デイトレ,31400,0.00
6088,シグマクシス・ホールディングス,長期,96400,
6089,ウィルグループ,デイトレ,1200,0.00
608A,上場インデックスファンド東証ＲＥＩＴ高利回り３０,デイトレ,194,2.00
6090,ヒューマン・メタボローム・テクノロジーズ,デイトレ,6400,1.30
6091,ウエスコホールディングス,デイトレ,4100,0.00
6093,ミトラグループ,デイトレ,72200,0.00
6098,リクルートホールディングス,デイトレ,22300,0.00
6098,リクルートホールディングス,長期,116300,
6099,エラン,デイトレ,10300,0.00
6099,エラン,長期,2200,0.04
609A,グローバルＸ　総合商社＆資源ビジネス－日本株式　ＥＴＦ,デイトレ,90,2.00
6101,ツガミ,デイトレ,3700,0.00
6101,ツガミ,長期,291900,
6103,オークマ,デイトレ,8400,0.00
6103,オークマ,長期,447400,
6104,芝浦機械,デイトレ,400,0.00
6104,芝浦機械,長期,97700,
610A,グローバルＸ　宇宙テック・トップ１０　ＥＴＦ（除く日本）,デイトレ,1020,2.00
6111,旭精機工業,デイトレ,1200,0.00
6113,アマダ,デイトレ,7700,0.00
6113,アマダ,長期,1122800,
6118,アイダエンジニアリング,デイトレ,1500,0.00
6118,アイダエンジニアリング,長期,126400,
6125,岡本工作機械製作所,デイトレ,10500,4.40
6134,ＦＵＪＩ,デイトレ,8200,0.00
6134,ＦＵＪＩ,長期,423500,
6136,オーエスジー,デイトレ,3300,0.00
6136,オーエスジー,長期,68900,0.28
6141,ＤＭＧ森精機,デイトレ,59700,0.00
6141,ＤＭＧ森精機,長期,68800,
6142,富士精工,デイトレ,400,0.00
6143,ソディック,デイトレ,20200,0.00
6143,ソディック,長期,153800,
6145,ＮＩＴＴＯＫＵ,デイトレ,13500,0.00
6146,ディスコ,デイトレ,19900,0.00
6146,ディスコ,長期,12900,
6149,小田原エンジニアリング,デイトレ,3000,1.80
6150,タケダ機械,デイトレ,200,2.20
6151,日東工器,デイトレ,700,0.00
6156,エーワン精密,デイトレ,500,0.90
6157,日進工具,デイトレ,4600,0.00
6158,和井田製作所,デイトレ,300,0.00
6159,ミクロン精密,デイトレ,100,0.48
6165,パンチ工業,デイトレ,4400,0.00
6166,中村超硬,デイトレ,20000,0.90
6171,土木管理総合試験所,デイトレ,10400,0.00
6176,ブランジスタ,デイトレ,7200,0.90
6177,ＡｐｐＢａｎｋ,デイトレ,57200,0.45
6178,日本郵政,デイトレ,103400,0.00
6178,日本郵政,長期,297100,
6180,ＧＭＯメディア,デイトレ,100,4.83
6182,メタリアル,デイトレ,8200,0.00
6183,ベルシステム２４ホールディングス,デイトレ,1900,0.00
6183,ベルシステム２４ホールディングス,長期,38900,0.11
6184,鎌倉新書,デイトレ,3400,0.00
6185,ＳＭＮ,デイトレ,2000,0.00
6186,一蔵,デイトレ,2200,0.90
618A,ＫＯＭＰＥＩＴＯ,デイトレ,1100,4.23
6191,エアトリ,デイトレ,14700,2.43
